66,442908,442908,442908,442908,442909,442909,442909,442909,401056,401056,401056,401056,442910,442910,442910,442910,422014,422014,422014,422014,442663,442663,442663,442663,11027,11027,11027,11027,442428,442428,442428,442673,442673,442673,442432,442432,101039,101039,442652,411010
66,401077,401077,401077,401077,301026,301026,301026,301026,321075,321075,321075,321075,441320,441320,301046,301046,301046,301046,293010,293010,293010,293010,261006,441036,31014,41011,361012,361012,361012,361012,171007,171007,171007,171007,300001,300001,431004,431004,431004,431004
66,441072,441072,101076,101076,392014,392014,442904,442904,442888,442888,11106,11106,411031,442899,442899,442899,442899,361109,361109,361109,401104,250004,442905,442905,442905,422028,422028,442906,442906,412001,442919,442919,442919,442896,442896,442896,442100,442100,442114,442114
45,61110,61110,61110,61110,402019,402019,402019,402019,412012,412012,412012,412012,441551,441551,441551,441551,151024,151024,151024,151024,442901,442901,442901,442901,442892,442892,442892,442892,442512,442512,442512,442512,442000,442000,442000,442000,60008,60008,60008,60008
66,441642,441642,441642,441642,161044,161044,401056,401056,401056,441058,442286,442286,442286,442286,442175,442175,442175,442175,441124,441124,441054,441054,442053,442053,442053,422014,422014,442554,442554,442554,441455,441455,441455,441328,441328,141027,141027,442433,442433,442433
66,442920,442920,442920,442920,431007,431007,431007,431007,441551,441551,441551,441551,442464,442464,442464,442464,442732,442732,251023,251023,442932,442932,442932,442932,111004,291037,442761,442761,91037,91037,91037,91037,261006,261006,432009,432009,432009,432009,442232,442232
26,442671,441294,441294,442538,442287,441291,442821,442190,251021,251021,441266,441266,441266,442524,442524,442621,400003,400003,412011,412011,411006,411006,161007,161007,161007,161007,442662,442662,392007,321015,442457,411040,411040,411040,442331,291008,291008,442217,441267,441267
66,111043,111043,111043,111043,371042,371042,371042,421008,421008,441551,441551,441522,441522,441522,441522,421052,421052,441794,441794,431042,431042,431042,431042,442901,442901,442901,291017,291017,291017,291017,61110,61110,61110,61110,402019,402019,141069,141069,141069,141069
66,11027,11027,11027,11027,442536,442671,442427,441182,442205,442374,442374,442374,441077,442840,166004,442640,131015,131015,61062,61062,61062,442812,442812,441928,442294,441990,442465,442465,442190,441394,442976,301001,442615,442883,442356,392007,441322,442896,80004,442665
55,442652,121007,401077,401077,401077,291008,291008,291008,291008,392007,111043,111043,111043,442615,442615,442615,441556,441556,441556,441556,100004,100004,100004,422010,422010,422010,422010,442607,442607,442607,442607,21029,21029,382007,382007,382007,392002,392002,392002,392002
66,31054,31054,31054,31054,441333,441333,441333,441333,111054,111054,111054,111054,111055,111055,111055,111055,361070,361070,361070,361070,321068,411031,442899,442899,442899,442899,442894,442894,442894,442894,442923,442923,442923,442923,442896,442896,442896,442896,442114,442114
66,442920,442920,442920,442920,442935,442935,442935,442935,161055,161055,161055,161055,161005,161005,161005,161005,442457,442457,442457,442457,442658,442658,442658,151024,151024,151024,412041,412041,412041,412041,402019,402019,402019,402019,61110,61110,61110,61110,441551,441551
66,441878,441878,441878,442399,442399,442399,442399,442551,442551,51024,51024,51024,442121,442121,442658,442658,442553,442553,441551,441551,441551,441551,251023,251023,251023,442193,442193,442052,442052,442167,442167,442167,442167,442271,442271,442271,442271,321052,321052,321052
66,442509,442509,442509,442808,442808,442808,442547,442547,442547,442909,442909,442909,442909,282014,442673,442673,442673,442809,442809,442809,442809,442404,442404,442651,442651,442652,442663,442663,442663,422026,422026,422026,422026,111043,111043,111043,111043,442615,442615,442615
66,441633,441633,441633,442890,442890,442890,432009,432009,432009,442932,442932,442932,442895,442895,442895,411030,411030,361077,361077,361077,442887,442887,442923,442923,441551,441551,441551,442216,442216,442216,442894,442894,442894,442294,442294,442294,432011,432011,442114,442114
66,441522,441522,441522,441522,442663,442663,442663,442663,442938,442938,442938,442938,442925,442925,442944,422007,422007,442673,442673,442673,361093,361093,361093,442945,442945,442945,442945,422026,422026,290002,290002,290002,290002,371010,111043,111043,111043,421008,421008,421008
66,61110,61110,61110,61110,402019,402019,402019,402019,11106,11106,11106,11106,442659,442659,442659,171035,171035,171035,171035,442404,442404,442404,442404,442646,442646,442646,442646,441447,441447,441447,441447,441565,441565,441565,441565,291037,442538,442538,442538,442538
66,402019,402019,402019,402019,61110,61110,61110,61110,171035,171035,171035,171035,442651,442651,442651,442651,442619,442619,442619,442619,442618,442618,442618,442618,410003,410003,410003,410003,441551,441551,441551,441551,442658,442658,442658,442658,401104,442677,442677,412001
66,441551,441551,441551,441551,442621,442621,442621,400003,442671,442651,442651,442651,442646,442646,141106,141106,141106,141106,402019,402019,402019,402019,442833,141027,141027,141027,141027,161044,161044,161044,442673,442673,442433,442433,442742,442742,442742,442742,412001,442746
