66,251023,251023,151024,151024,151024,61085,61085,61085,11022,11022,11022,11022,411008,411008,442134,442134,442134,442134,442190,442190,442190,442190,442292,442292,442292,290001,290001,290001,290001,442287,442287,442071,442071,442071,161007,161007,161007,161007,400004,101026
66,442041,442041,442041,442041,101021,401077,401077,401077,401077,371039,371039,371039,371039,371042,371042,371042,371042,101026,21029,21029,21029,392003,392002,392002,392002,442302,442302,442302,441150,441150,441150,441150,201008,411030,411030,131016,141015,171008,111004,301029
66,141069,141069,141069,61110,61110,61110,61110,402019,402019,402019,402019,61085,61085,61085,61085,211035,211035,211035,211035,421008,421008,421008,421008,441794,441794,441794,441794,442425,442425,442425,442425,442226,442226,442226,442374,442374,442374,442143,442143,442143
66,321054,171055,201005,201005,201005,201005,402019,402019,402019,402019,401056,401056,401056,401056,441328,441328,291037,442428,442428,371051,371051,371051,441455,441455,441455,441455,421019,251035,161027,262002,442286,442286,442286,442286,441058,441058,130005,442282,441760,410003
66,300001,300001,293010,293010,293010,421008,421008,421008,441551,441551,441551,151024,151024,442407,442407,442407,442407,170003,170003,442402,442402,442402,410003,412001,31020,31020,31020,402019,402019,402019,402019,61110,61110,61110,61110,31014,411010,411010,411010,411010
66,141069,141069,141069,141069,402019,402019,402019,141106,141106,11069,321108,171035,171035,171035,171035,11106,412012,412012,412012,401104,412048,412048,412048,391015,391015,391015,201031,441321,441321,441321,422017,362011,362011,362011,442000,442000,442000,442000,411034,411034
66,141069,141069,141069,141069,61110,61110,61110,61110,402019,402019,402019,402019,442216,442216,251023,251023,441551,441551,441551,441551,441209,441209,441209,441878,441878,441878,441878,442121,442121,442121,442121,442001,442001,51024,51024,441792,441792,441792,442134,442134
66,441328,441328,441328,442329,442329,442329,442329,441642,441642,441642,441642,441722,441722,441722,441722,441879,441879,441879,441879,441321,442391,442391,442391,442391,442427,442427,442427,442427,441455,441455,441455,161027,441447,441447,441447,441447,441520,441520,441520,441520
66,441550,441550,441550,441523,441523,441523,171035,171035,171035,171035,361109,361109,21035,21035,21035,441446,441446,441446,441446,61110,61110,61110,61110,291037,442433,442433,442433,442433,161044,161044,161044,442948,442948,101026,282014,361093,361093,361093,442927,442927
45,402019,402019,402019,402019,61110,61110,61110,61110,171035,171035,171035,291037,361109,361109,361109,441730,441730,441730,100004,100004,100004,411010,411010,411010,442000,442000,442000,441799,441799,441799,300001,300001,300001,442407,442407,442407,442402,442402,442402,412001
66,291037,381021,441308,21039,51008,51008,51008,300001,300001,300001,362001,362001,362001,442404,442404,442404,442407,442407,442407,442402,442402,442402,31014,441879,441879,441282,441282,441282,441282,361093,361093,361093,442433,442433,442433,422053,422053,422053,110004,110004
66,442425,442425,442425,441151,441151,441151,442427,442427,442427,442427,442196,442196,442196,442196,442175,442175,442175,442175,441551,441551,441551,401052,401052,401052,421038,421038,421038,422026,422026,422026,442162,442162,442162,442162,361077,361077,362008,362008,361093,361093
66,442286,442286,442286,442103,442103,442002,442002,442433,442433,291003,411010,411010,411010,442175,442175,442175,442175,442053,442053,442053,442053,282014,262002,441455,441455,441455,441455,422010,422010,422010,422010,422014,422014,422014,442537,442537,441328,441328,321054,321054
66,412006,412006,412006,412006,111054,111054,111054,111054,141069,141069,141069,141069,442427,442427,442427,442427,261054,261054,261054,220003,220003,220003,220003,441160,441160,441160,441160,321054,321054,321054,441447,441447,441447,441447,441520,441520,441520,171055,421048,421048
66,311019,311019,311019,311019,422053,422053,422053,442230,442230,301022,301022,312008,111004,61085,61085,61085,441391,441761,441761,441124,412011,412011,412011,412011,161044,161044,351010,441058,441058,442175,442175,442175,361077,361077,361077,361077,101026,442286,442286,442286
21,442292,442292,442292,442121,442121,442341,441551,441551,441551,441551,441793,441793,400003,441753,442140,442140,442140,442146,442146,442146,442146,402019,402019,402019,402019,442130,442130,11106,442286,442286,442286,221003,221003,221003,221003,161044,161044,161044,442175,442175
66,141060,141060,141060,141060,441611,441611,441611,441611,61062,61062,61062,61062,442305,442305,442305,442305,442206,442206,442206,442206,442346,442346,442346,442365,442365,442365,441213,441213,441213,442208,442208,442384,442384,442384,171031,171031,442407,442407,442402,442402
24,401056,401056,401056,401056,422053,422053,422053,422010,422010,422010,422010,293011,293011,293011,442429,442429,442429,442429,271005,271005,340003,340003,340003,340003,291003,392002,392002,441666,441666,441666,441666,442053,442053,442053,442053,442002,442002,442296,442296,291037
66,442194,442194,442194,442194,391034,401104,31020,31020,422002,171035,171035,171035,171055,402019,402019,402019,402019,61110,61110,61110,61110,402017,402017,402017,421008,421008,421008,421008,151024,151024,151024,151024,130005,421019,251035,441664,441664,441664,441664,442125
25,402019,402019,402019,402019,61110,61110,61110,61110,441209,441209,441209,441209,441730,441730,171035,171035,100004,100004,100004,100004,101026,441799,441799,101015,101015,101015,101015,241014,241014,321015,441213,441213,442402,442402,442402,442402,442407,442407,442407,442407
0,402019,402019,402019,402019,442141,442141,412033,412033,412033,412033,412029,412029,432017,432017,321011,321011,321011,321011,320002,320002,61110,61110,61110,61110,331020,331020,331020,331020,141109,211039,411031,111005,111005,111005,442294,442294,442294,311002,311002,311002
66,441264,441264,441264,441264,442146,442146,442146,441322,441553,441302,441302,441280,441280,442404,442404,442420,442420,442420,221003,221003,442100,442100,410003,410003,441565,441174,441450,441450,441318,441318,442298,442298,341005,341005,442095,441182,441928,442042,441293,441385
